time,"Trace Velocity, Target, Actual (mph)(1)",EngSpd,EngTrq,BSFC,FuelEconomy,FuelVolFlw,TP HC Mass (g/km),TP CO Mass (g/km),TP NOx Mass (g/km),TP CO2 Mass (g/km)
1566,69.53143641135767,2917.49317948109,135.80461487431626,288.80306489890086,8.999566488917198,4.463683842787853e-06,0.011012240438445219,0.056105792876049145,0.04142819492815646,0
1567,70.64990455738486,2962.181176592699,135.80666971283426,288.9913889970399,9.010288557266996,4.534625251668946e-06,0.011020426565707156,0.05614737396727735,0.04150211341200697,0
1568,71.6440984649646,3005.912865386466,135.80667156729265,289.1726123303326,9.021146658714919,4.60404853793511e-06,0.011028715769570364,0.056189503416828115,0.04157722956800738,0
1569,72.5761552533206,3048.661453027256,135.8066710667773,289.3012916519185,9.032134988491638,4.671911168551535e-06,0.011037103633433876,0.056232152224715524,0.04165348707976555,0
1570,73.44607492245287,3090.3674932231656,135.80667947258976,289.4268327575929,9.043247856373815,4.7381187734453215e-06,0.011045585830525066,0.05627529335228975,0.04173083272165285,0
1571,74.2538574723614,3130.5731099648415,134.2919553701613,290.89134803679696,9.05439045490154,4.723498248770371e-06,0.01105406328645156,0.056318426832512564,0.041808668031725726,0
1572,74.9995029030462,3165.168664799318,127.62540469023973,294.0429956827025,9.064606489120665,4.600507420775924e-06,0.011061524904920515,0.05635644882386793,0.04188105139197422,0
1573,75.68301121450726,3196.146349328411,124.25276653994347,295.6461406920147,9.074153182987494,4.561571647205082e-06,0.011068253861063809,0.05639077515277897,0.04194954287769877,0
1574,76.18010816829712,3221.5460963478704,116.05523872088168,299.82947831771736,9.082689037183693,4.317691152102162e-06,0.011073901502350847,0.05641963183269736,0.042012030569869525,0
1575,76.55293088363953,3240.012263647399,107.84755240588726,299.1185775150138,9.089382436588714,4.045304977941463e-06,0.01107791259090062,0.056440088297749984,0.04206504701982325,0
1576,76.80147936053446,3252.973198912583,100.77192561464173,299.02349904572407,9.094429063461892,3.7976956395164877e-06,0.011080583163511433,0.05645360598641273,0.04211018965409178,0
1577,76.8636164797582,3259.0604775427737,90.78102588920311,290.02350000043646,9.097216809370163,3.3075789633617825e-06,0.011081596069926317,0.05645860539585392,0.0421455425806224,0
1578,76.80147936053446,3258.419270837757,82.12508798279782,281.2044820137465,9.097188252572687,2.9033413701371704e-06,0.011080796253136556,0.056454355874180656,0.04217015267731367,0
1579,76.61506800286327,3252.491856569685,74.54109609680505,285.1463699772574,9.095175422600118,2.644863561390611e-06,0.011078544070165126,0.056442698368758364,0.042186048416985165,0
1580,76.42865664519206,3244.1549282176748,72.27766222213366,286.5874288739621,9.092435117581337,2.60675533222669e-06,0.011075477429376054,0.056426887299346515,0.042196915291630555,0
1581,76.1179710490734,3233.1813750729307,66.70561745214306,295.0812730982076,9.089154177481278,2.425873366308183e-06,0.011071751587946585,0.05640771425702186,0.042203639831328604,0
1582,75.86942257217846,3221.0694698486764,66.7852029932009,292.807179929157,9.085456901821683,2.4581420176342503e-06,0.011067517382545288,0.05638594904737251,0.042207078908832865,0
1583,75.49659985683607,3207.564727161799,62.200212636504205,300.6094282082055,9.081515070021913,2.2903282175396257e-06,0.011062983441538202,0.05636265569402156,0.042208459520103304,0
1584,75.06164002226994,3190.036134605371,56.61797002562827,310.3928187550773,9.076673332754172,2.1467854811966536e-06,0.011057347179878677,0.056333741099084816,0.04220300021928869,0
1585,74.56454306848008,3169.8564050141913,52.21370069686435,321.29619382509,9.071190639096807,2.023955590049731e-06,0.011050914045597778,0.05630078027005793,0.042192487995795315,0
1586,74.00530899546645,3147.106358841536,47.76826000521539,332.43415336072786,9.065112111655797,1.8977486046631848e-06,0.011043739359127483,0.056264050449911576,0.042177208821608345,0
1587,73.38393780322912,3121.752597423865,43.2027672459223,343.7732687168618,9.05843481272261,1.7686945409976377e-06,0.011035820946144295,0.056223532202725086,0.042157105578335706,0
1588,72.7625666109918,3095.15532689518,41.22323338841201,347.0665909443135,9.051393353907425,1.7165192961752629e-06,0.01102745060458315,0.0561807018121144,0.042133859275772546,0
1589,72.2033325379782,3069.950353651458,43.030643875871554,340.64787279747986,9.044513322622322,1.7576905232705935e-06,0.011019278650903571,0.05613886813958343,0.04211130187307634,0
1590,71.76837270341207,3048.750780057855,48.64936264058269,324.6693847520648,9.038324190909535,1.8913679569377807e-06,0.011011958004242216,0.056101365440390474,0.04209333312513669,0
1591,71.39554998806966,3031.5458053784646,52.936124841736074,314.85923427075636,9.03290722956625,1.9691851824210456e-06,0.01100558752961864,0.05606870737840045,0.042080610574456966,0
1592,71.14700151117472,3018.283481061259,58.68984101649769,300.389731388891,9.02820377247116,2.1071447839185594e-06,0.01100009371854794,0.056040526673426176,0.042072764902908934,0
1593,70.8984530342798,3007.6654754290867,60.63705096264015,299.04403183422164,9.024051451118885,2.121276042641193e-06,0.010995276169983949,0.05601580542020836,0.0420686714391675,0
1594,70.77417879583233,2999.659174950436,65.38763855517051,291.5576820143486,9.02033684927728,2.249582591686825e-06,0.010990995620139095,0.05599383497090549,0.042067541795384064,0
1595,70.64990455738486,2994.2959484144026,67.56618363088353,289.9101229170411,9.017163764955644,2.274467359553201e-06,0.010987379918215018,0.055975271296154025,0.04207017903145104,0
1596,70.40135608048993,2986.4657841999806,62.2467285211477,298.27104922482073,9.013611987504836,2.115915543571851e-06,0.01098329579606915,0.055954311451284114,0.04206986741508151,0
1597,70.152807603595,2975.8401591584357,59.376104304379844,300.631355506286,9.009462302616557,2.063804881157203e-06,0.01097847291226655,0.05592957211823516,0.042064966386587514,0
1598,69.71784776902886,2961.296669553293,51.33170905383803,323.5407255389983,9.004619460116443,1.8326313331874491e-06,0.010972793652382675,0.05590045846078905,0.04205475110135179,0
1599,69.220750815239,2941.5238659558754,44.59756843567999,338.0425438734472,8.998725891219047,1.6846314380484658e-06,0.010965816185862912,0.05586472018582432,0.04203654793751884,0
1600,68.66151674222539,2918.982539902425,40.12678535267315,353.6950492372476,8.992250341630932,1.5714404121091855e-06,0.010958116076235324,0.05582530597928456,0.042013724332306365,0
1601,68.04014554998805,2893.915454621295,35.713628842825685,386.9765918603147,8.985269903717999,1.4562077643341362e-06,0.010949783550830748,0.05578269489076116,0.04198683036111996,0
1602,67.41877435775073,2867.4842327268125,33.6591083735504,398.22778590731514,8.977976764394747,1.4069757038155365e-06,0.010941056655452749,0.055738095834336684,0.04195723880712919,0
1603,66.92167740396086,2843.392149778196,37.743708755744436,358.73854329625567,8.971014080059506,1.5093116677982131e-06,0.010932733545559148,0.055695565521527546,0.04192960768957894,0
1604,66.54885468861845,2824.3904308779456,44.46938250042558,332.4442583382674,8.964926458736546,1.6498260141637346e-06,0.010925487687679387,0.05565853711478003,0.04190794687262446,0
1605,66.23816909249979,2809.501469973032,49.01338347182255,322.2830613059295,8.959583314055228,1.7290145606078344e-06,0.010919157406370459,0.05562618337744174,0.041891400263034194,0
1606,66.11389485405233,2799.67761537945,57.21001712021309,299.7833872591982,8.95508277803244,1.9235091409376693e-06,0.010913865421650012,0.05559912297416447,0.04188074567498939,0
1607,65.98962061560486,2794.0198159314687,60.86990943793886,296.8312977030224,8.951368200175994,1.969389128619773e-06,0.01090954103205493,0.055577002535387436,0.04187563928661583,0
1608,65.98962061560486,2791.0994006715628,65.76327524822504,289.5563683688078,8.948112359643387,2.0919787714449458e-06,0.010905778359280999,0.05555776499275582,0.04187373458181202,0
1609,65.98962061560486,2790.8563256794596,68.25670644372188,287.47675984021436,8.94536301200866,2.1275383481791336e-06,0.010902636497796594,0.05554171234394715,0.041875422532561386,0
1610,66.11389485405233,2793.239793706755,73.26893922524701,279.994657574971,8.943052183616345,2.2585879462701743e-06,0.010900032339037939,0.05552841752519433,0.041880239841452116,0
1611,66.17603197327605,2797.176460217613,73.5596147947993,281.41374016214615,8.941088331387629,2.2379358093651826e-06,0.010897854026213016,0.055517305329502435,0.041887557403478326,0
1612,66.36244333094726,2802.3830994287473,77.38335011125861,274.9025934371607,8.93932012877689,2.355320126021959e-06,0.010895915914406626,0.0555074232355821,0.041896285626614335,0
1613,66.6109918078422,2811.341505017794,82.51717930138508,274.60913769764323,8.938348420509296,2.510161890921909e-06,0.010894821780522687,0.05550181354488106,0.04190997685719626,0
1614,66.98381452318459,2824.3871020557544,89.24761387226715,274.875335497033,8.938404435660344,2.74612561369524e-06,0.010894658651842706,0.05550085211019891,0.04192911325150444,0
1615,67.41877435775073,2841.5508947833046,94.88017375925621,275.6982234808995,8.939597500541634,2.932635193027991e-06,0.010895500806652029,0.05550491473522714,0.04195418559903707,0
