time,Trace Velocity,EngSpd,MotSpd,GenSpd,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,L/100km,TP HC Mass (g/km),TP CO Mass (g/km),TP NOx Mass (g/km),TP CO2 Mass (g/km),fuel(g/s),Battery power,BattPwrLoss
100,0.0,-4.973724096849514,78.38231952608481,-34.84114644084457,0.0,8.059776149731196e-14,0.02343755451711932,-0.000455875452039415,75.96428966469114,0.0,0.0,0.0,0.0,0,0.0,-0.0663677718551319,6.470405323484446e-09
101,0.0,-4.264284352358242,50.38600659245009,-24.708670918822982,0.0,5.914798631271411e-15,0.010228036772375711,-0.0001412163743340881,75.96429039671821,0.0,0.0,0.0,0.0,0,0.0,-0.020558719396641653,6.208821676148149e-10
102,0.0,-3.78751398057796,32.47002157471162,-18.175146766283433,0.0,-2.347488826693061e-19,0.005547805950908818,-5.6292791610754e-05,75.96429066015263,0.0,0.0,0.0,0.0,0,0.0,-0.008195279703899555,9.866080281521713e-11
103,0.0,-3.3866012461282615,21.061346362146065,-13.80383906352098,0.0,-4.681230617981871e-28,0.002813256409395582,-2.1645928809679237e-05,75.9642907648376,0.0,0.0,0.0,0.0,0,0.0,-0.0031512816241133267,1.4587857895053756e-11
104,0.0,-3.036682149358314,13.829077521385164,-10.825247556580884,0.0,-9.335047668619284e-37,0.0011428004899187321,-6.886017167834247e-06,75.96429080266488,0.0,0.0,0.0,0.0,0,0.0,-0.001002487788278481,1.4763022265026452e-12
105,0.0,-2.728415489388816,9.222801227452322,-8.743128780313318,0.0,-1.8615428738044704e-45,0.00017835811238656852,-8.6825715177709e-07,75.96429081244258,0.0,0.0,0.0,0.0,0,0.0,-0.00012640357545231257,2.347122793378835e-14
106,0.0,-2.4550755599572973,6.253172763077627,-7.239164197643901,0.0,-3.7121844408586217e-54,-0.0003391979945111155,2.330265695740534e-06,75.96429081002768,0.0,0.0,0.0,0.0,0,0.0,0.00033924732423959626,1.6906353917860375e-13
107,0.0,-2.2113826244282215,4.30641503307571,-6.113474041082815,0.0,-7.402630106922954e-63,-0.0005909279206124259,3.4267461647932962e-06,75.96429080138974,0.0,0.0,0.0,0.0,0,0.0,0.00049887635949986,3.6559726929305903e-13
108,0.0,-1.9932184395784278,3.0064147715949985,-5.241662074960404,0.0,-1.4761909967826714e-71,-0.0006925176924056088,3.441201524301328e-06,75.96429079140668,0.0,0.0,0.0,0.0,0,0.0,0.0005009808156617951,3.686882404232453e-13
109,0.0,-1.797343074417492,2.1225068115300627,-4.545890192411522,0.0,-2.9437373305256472e-80,-0.00071310531261908,3.0717115110187475e-06,75.96429078203512,0.0,0.0,0.0,0.0,0,0.0,0.00044718931091049057,2.937649130500969e-13
110,0.0,-1.6211449479869136,1.5116937860150474,-3.976597265612988,0.0,-5.8702359586372875e-89,-0.000692155087900958,2.6071488483895396e-06,75.9642907738994,0.0,0.0,0.0,0.0,0,0.0,0.0003795568343134709,2.1162682974225272e-13
111,0.0,-1.462456725787329,1.0837689906693746,-3.5013923611816007,0.0,-1.170609546332211e-97,-0.0006514753585304431,2.1600735873172705e-06,75.96429076708412,0.0,0.0,0.0,0.0,0,0.0,0.0003144702279880725,1.452700766098707e-13
112,0.0,-1.3194320940796143,0.7806244076758301,-3.098434951169345,0.0,-2.3343639329316037e-106,-0.0006028123022689326,1.7683187404943569e-06,75.96429076147409,0.0,0.0,0.0,0.0,0,0.0,0.00025743733953477736,9.7355428280285e-14
113,0.0,-1.1904664412083772,0.5640036145904076,-2.7525029838287893,0.0,-4.655057690624233e-115,-0.0005523303746656898,1.4390957197014807e-06,75.96429075689619,0.0,0.0,0.0,0.0,0,0.0,0.00020950802870215137,6.447902108651135e-14
114,0.0,-1.07414575396298,0.40819096429593815,-2.4526376089045923,0.0,-9.282855084136854e-124,-0.0005031510238728174,1.1679849948956106e-06,75.96429075317624,0.0,0.0,0.0,0.0,0,0.0,0.00017003888657047747,4.247306471492541e-14
115,0.0,-0.9692126638954183,0.2955765578856763,-2.190707980112168,0.0,-1.851134921198581e-132,-0.0004567575493021141,9.46957247140226e-07,75.96429075015895,0.0,0.0,0.0,0.0,0,0.0,0.00013786097993019248,2.7918997297776053e-14
116,0.0,-0.8745427205694534,0.21390898848465273,-1.9605163912925627,0.0,-3.6914294852417205e-141,-0.00041376207641283594,7.676183738811535e-07,75.96429074771298,0.0,0.0,0.0,0.0,0,0.0,0.00011175226923784609,1.8345510257396222e-14
117,0.0,-0.789126813606626,0.1545534847860184,-1.7572254103317422,0.0,-7.361241737954408e-150,-0.00037432106205302157,6.223969553084947e-07,75.96429074573005,0.0,0.0,0.0,0.0,0,0.0,9.061048366080975e-05,1.2060741005553829e-14
118,0.0,-0.7120574077343566,0.11136104184045385,-1.576980858400668,0.0,-1.4679375602661364e-158,-0.0003383592720603322,5.048678693764408e-07,75.96429074412193,0.0,0.0,0.0,0.0,0,0.0,7.350023395810016e-05,7.935869859937992e-15
119,0.0,-0.6425172618838622,0.07991747523242404,-1.4166568144537315,0.0,-2.9272787901119756e-167,-0.00030568994931880807,4.0973344202875793e-07,75.96429074281731,0.0,0.0,0.0,0.0,0,0.0,5.9650268271755565e-05,5.226872382689592e-15
120,0.0,-0.5797698683982404,0.057034495695153405,-1.2736786511558678,0.0,-5.837415260010028e-176,-0.0002760788453563895,3.3268632640972186e-07,75.9642907417582,0.0,0.0,0.0,0.0,0,0.0,4.843350965618978e-05,3.4459500306302785e-15
121,0.0,-0.523151161671791,0.040398672575988816,-1.1458972958923361,0.0,-1.1640646266047802e-184,-0.00024927792299275623,2.702471501636465e-07,75.964290740898,0.0,0.0,0.0,0.0,0,0.0,3.93434202674081e-05,2.2738474149433493e-15
122,0.0,-0.4720622191885798,0.02832571804258062,-1.031497977292613,0.0,-2.3213124209193207e-193,-0.0002250426856137279,2.1961263344607507e-07,75.96429074019913,0.0,0.0,0.0,0.0,0,0.0,3.19718899109532e-05,1.5015981065595608e-15
123,0.0,-0.4259627751177413,0.019586434463908713,-0.9289327341460393,0.0,-4.629031097037027e-202,-0.00020314068270642,1.7852538715225176e-07,75.96429073963115,0.0,0.0,0.0,0.0,0,0.0,2.599028086326538e-05,9.9229097093778e-16
